Stock Item Key,WWI Stock Item ID,Stock Item,Color,Selling Package,Buying Package,Size,Lead Time Days,Quantity Per Outer,Is Chiller Stock,Barcode,Tax Rate,Unit Price,Recommended Retail Price,Typical Weight Per Unit
32,188,3 kg Courier post bag (White) 300x190x95mm,Unknown,Each,Each,300x190x95mm,14,25,0,0.0,14,0.66,0.99,0.1
33,187,Express post box 5kg (White) 350x280x130mm,Unknown,Each,Each,350x280x130mm,14,25,0,0.0,14,0.95,1.42,0.2
34,186,Shipping carton (Brown) 457x457x457mm,Unknown,Each,Each,457x457x457mm,14,25,0,0.0,14,2.1,3.14,0.4
35,185,Shipping carton (Brown) 356x356x279mm,Unknown,Each,Each,356x356x279mm,14,25,0,0.0,14,2.04,3.05,0.3
36,184,Shipping carton (Brown) 305x305x305mm,Unknown,Each,Each,305x305x305mm,14,25,0,0.0,14,3.5,5.23,0.3
37,183,Shipping carton (Brown) 480x270x320mm,Unknown,Each,Each,480x270x320mm,14,25,0,0.0,14,2.74,4.1,0.4
38,182,Shipping carton (Brown) 457x279x279mm,Unknown,Each,Each,457x279x279mm,14,25,0,0.0,14,1.28,1.91,0.4
39,181,Shipping carton (Brown) 356x229x229mm,Unknown,Each,Each,356x229x229mm,14,25,0,0.0,14,1.14,1.7,0.4
40,180,Shipping carton (Brown) 279x254x217mm,Unknown,Each,Each,279x254x217mm,14,25,0,0.0,14,1.11,1.66,0.3
41,179,Shipping carton (Brown) 229x229x229mm,Unknown,Each,Each,229x229x229mm,14,25,0,0.0,14,1.05,1.57,0.3
42,178,Shipping carton (Brown) 500x310x310mm,Unknown,Each,Each,500x310x310mm,14,25,0,0.0,14,2.55,3.81,0.4
43,177,Shipping carton (Brown) 413x285x187mm,Unknown,Each,Each,413x285x187mm,14,25,0,0.0,14,1.05,1.57,0.3
44,176,Bubblewrap dispenser (Red) 1.5m,Red,Each,Each,1.5m,14,1,0,0.0,14,240.0,358.8,10.0
45,175,Bubblewrap dispenser (Blue) 1.5m,Blue,Each,Each,1.5m,14,1,0,0.0,14,240.0,358.8,10.0
46,174,Bubblewrap dispenser (Black) 1.5m,Black,Each,Each,1.5m,14,1,0,0.0,14,240.0,358.8,10.0
47,173,32 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,0,0.0,14,105.0,156.98,10.0
48,172,32 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,0,0.0,14,48.0,71.76,6.0
49,171,32 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,0,0.0,14,32.0,47.84,5.0
50,170,20 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,0,0.0,14,102.0,152.49,10.0
51,169,20 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,0,0.0,14,45.0,67.28,6.0
52,168,20 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,0,0.0,14,29.0,43.36,5.0
53,167,10 mm Anti static bubble wrap (Blue) 50m,Blue,Each,Each,50m,14,10,0,0.0,14,99.0,148.01,10.0
54,166,10 mm Anti static bubble wrap (Blue) 20m,Blue,Each,Each,20m,14,10,0,0.0,14,42.0,62.79,6.0
55,165,10 mm Anti static bubble wrap (Blue) 10m,Blue,Each,Each,10m,14,10,0,0.0,14,26.0,38.87,5.0
56,164,32 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,0,0.0,14,112.0,167.44,10.0
57,163,32 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,0,0.0,14,37.0,55.32,6.0
58,162,32 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,0,0.0,14,22.0,32.89,5.0
59,161,20 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,0,0.0,14,108.0,161.46,10.0
60,160,20 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,0,0.0,14,33.0,49.34,6.0
61,159,20 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,0,0.0,14,18.0,26.91,5.0
62,158,10 mm Double sided bubble wrap 50m,Unknown,Each,Each,50m,14,10,0,0.0,14,105.0,156.98,10.0
63,157,10 mm Double sided bubble wrap 20m,Unknown,Each,Each,20m,14,10,0,0.0,14,30.0,44.85,6.0
64,156,10 mm Double sided bubble wrap 10m,Unknown,Each,Each,10m,14,10,0,0.0,14,15.0,22.43,5.0
65,155,Large sized bubblewrap roll 50m,Unknown,Each,Each,50m,14,10,0,0.0,14,24.0,35.88,10.0
66,154,Medium sized bubblewrap roll 20m,Unknown,Each,Each,20m,14,10,0,0.0,14,20.0,29.9,6.0
67,153,Small sized bubblewrap roll 10m,Unknown,Each,Each,10m,14,10,0,0.0,14,4.5,6.73,5.0
68,152,Pack of 12 action figures (female),Unknown,Packet,Packet,Unknown,2,1,0,0.0,2,16.0,23.92,0.25
69,151,Pack of 12 action figures (male),Unknown,Packet,Packet,Unknown,2,1,0,0.0,2,16.0,23.92,0.25
70,150,Pack of 12 action figures (variety),Unknown,Packet,Packet,Unknown,2,1,0,0.0,2,16.0,23.92,0.25
71,149,Halloween skull mask (Gray) XL,Gray,Each,Carton,XL,12,12,0,0.0,12,18.0,26.91,0.3
72,148,Halloween skull mask (Gray) L,Gray,Each,Carton,L,12,12,0,0.0,12,18.0,26.91,0.3
73,147,Halloween skull mask (Gray) M,Gray,Each,Carton,M,12,12,0,0.0,12,18.0,26.91,0.3
74,146,Halloween skull mask (Gray) S,Gray,Each,Carton,S,12,12,0,0.0,12,18.0,26.91,0.3
75,145,Halloween zombie mask (Light Brown) XL,Light Brown,Each,Carton,XL,12,12,0,0.0,12,18.0,26.91,0.3
76,144,Halloween zombie mask (Light Brown) L,Light Brown,Each,Carton,L,12,12,0,0.0,12,18.0,26.91,0.3
77,143,Halloween zombie mask (Light Brown) M,Light Brown,Each,Carton,M,12,12,0,0.0,12,18.0,26.91,0.3
78,142,Halloween zombie mask (Light Brown) S,Light Brown,Each,Carton,S,12,12,0,0.0,12,18.0,26.91,0.3
79,141,Furry animal socks (Pink) XL,Unknown,Pair,Packet,XL,12,12,0,0.0,12,5.0,7.48,0.1
80,140,Furry animal socks (Pink) L,Unknown,Pair,Packet,L,12,12,0,0.0,12,5.0,7.48,0.1
81,139,Furry animal socks (Pink) M,Unknown,Pair,Packet,M,12,12,0,0.0,12,5.0,7.48,0.1
82,138,Furry animal socks (Pink) S,Unknown,Pair,Packet,S,12,12,0,0.0,12,5.0,7.48,0.1
83,137,Animal with big feet slippers (Brown) XL,Unknown,Each,Each,XL,12,1,0,0.0,12,32.0,47.84,0.4
84,136,Animal with big feet slippers (Brown) L,Unknown,Each,Each,L,12,1,0,0.0,12,32.0,47.84,0.35
85,135,Animal with big feet slippers (Brown) M,Unknown,Each,Each,M,12,1,0,0.0,12,32.0,47.84,0.35
86,134,Animal with big feet slippers (Brown) S,Unknown,Each,Each,S,12,1,0,0.0,12,32.0,47.84,0.35
87,133,Furry gorilla with big eyes slippers (Black) XL,Black,Each,Each,XL,12,1,0,0.0,12,32.0,47.84,0.4
88,132,Furry gorilla with big eyes slippers (Black) L,Black,Each,Each,L,12,1,0,0.0,12,32.0,47.84,0.35
89,131,Furry gorilla with big eyes slippers (Black) M,Black,Each,Each,M,12,1,0,0.0,12,32.0,47.84,0.35
90,130,Furry gorilla with big eyes slippers (Black) S,Black,Each,Each,S,12,1,0,0.0,12,32.0,47.84,0.35
91,129,Plush shark slippers (Gray) XL,Gray,Each,Each,XL,12,1,0,0.0,12,32.0,47.84,0.4
92,128,Plush shark slippers (Gray) L,Gray,Each,Each,L,12,1,0,0.0,12,32.0,47.84,0.35
93,127,Plush shark slippers (Gray) M,Gray,Each,Each,M,12,1,0,0.0,12,32.0,47.84,0.35
94,126,Plush shark slippers (Gray) S,Gray,Each,Each,S,12,1,0,0.0,12,32.0,47.84,0.35
95,125,Ogre battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,0,0.0,12,32.0,47.84,0.4
96,124,Ogre battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,0,0.0,12,32.0,47.84,0.35
97,123,Ogre battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,0,0.0,12,32.0,47.84,0.35
98,122,Ogre battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,0,0.0,12,32.0,47.84,0.35
99,121,Dinosaur battery-powered slippers (Green) XL,Unknown,Each,Each,XL,12,1,0,0.0,12,32.0,47.84,0.4
100,120,Dinosaur battery-powered slippers (Green) L,Unknown,Each,Each,L,12,1,0,0.0,12,32.0,47.84,0.35
101,119,Dinosaur battery-powered slippers (Green) M,Unknown,Each,Each,M,12,1,0,0.0,12,32.0,47.84,0.35
102,118,Dinosaur battery-powered slippers (Green) S,Unknown,Each,Each,S,12,1,0,0.0,12,32.0,47.84,0.35
103,117,Superhero action jacket (Blue) 5XL,Blue,Each,Each,5XL,12,1,0,0.0,12,34.0,50.83,0.4
104,116,Superhero action jacket (Blue) 4XL,Blue,Each,Each,4XL,12,1,0,0.0,12,34.0,50.83,0.4
105,115,Superhero action jacket (Blue) 3XL,Blue,Each,Each,3XL,12,1,0,0.0,12,34.0,50.83,0.4
106,114,Superhero action jacket (Blue) XXL,Blue,Each,Each,XXL,12,1,0,0.0,12,30.0,44.85,0.35
107,113,Superhero action jacket (Blue) XL,Blue,Each,Each,XL,12,1,0,0.0,12,30.0,44.85,0.35
108,112,Superhero action jacket (Blue) L,Blue,Each,Each,L,12,1,0,0.0,12,30.0,44.85,0.35
109,111,Superhero action jacket (Blue) M,Blue,Each,Each,M,12,1,0,0.0,12,30.0,44.85,0.35
110,110,Superhero action jacket (Blue) S,Blue,Each,Each,S,12,1,0,0.0,12,25.0,37.38,0.3
111,109,Superhero action jacket (Blue) XS,Blue,Each,Each,XS,12,1,0,0.0,12,25.0,37.38,0.3
112,108,Superhero action jacket (Blue) XXS,Blue,Each,Each,XXS,12,1,0,0.0,12,25.0,37.38,0.3
113,107,Superhero action jacket (Blue) 3XS,Blue,Each,Each,3XS,12,1,0,0.0,12,25.0,37.38,0.3
114,106,Alien officer hoodie (Black) 5XL,Black,Each,Each,5XL,12,1,0,0.0,12,35.0,52.33,0.4
115,105,Alien officer hoodie (Black) 4XL,Black,Each,Each,4XL,12,1,0,0.0,12,35.0,52.33,0.4
116,104,Alien officer hoodie (Black) 3XL,Black,Each,Each,3XL,12,1,0,0.0,12,35.0,52.33,0.4
117,103,Alien officer hoodie (Black) XXL,Black,Each,Each,XXL,12,1,0,0.0,12,35.0,52.33,0.4
118,102,Alien officer hoodie (Black) XL,Black,Each,Each,XL,12,1,0,0.0,12,35.0,52.33,0.4
119,101,The Gu red shirt XML tag t-shirt (Black) 7XL,Black,Each,Carton,7XL,7,12,0,0.0,7,18.0,26.91,0.45
120,100,The Gu red shirt XML tag t-shirt (Black) 6XL,Black,Each,Carton,6XL,7,12,0,0.0,7,18.0,26.91,0.4
121,99,The Gu red shirt XML tag t-shirt (Black) 5XL,Black,Each,Carton,5XL,7,12,0,0.0,7,18.0,26.91,0.4
122,98,The Gu red shirt XML tag t-shirt (Black) 4XL,Black,Each,Carton,4XL,7,12,0,0.0,7,18.0,26.91,0.4
123,97,The Gu red shirt XML tag t-shirt (Black) 3XL,Black,Each,Carton,3XL,7,12,0,0.0,7,18.0,26.91,0.4
124,96,The Gu red shirt XML tag t-shirt (Black) XXL,Black,Each,Carton,XXL,7,12,0,0.0,7,18.0,26.91,0.4
125,95,The Gu red shirt XML tag t-shirt (Black) XL,Black,Each,Carton,XL,7,12,0,0.0,7,18.0,26.91,0.35
126,94,The Gu red shirt XML tag t-shirt (Black) L,Black,Each,Carton,L,7,12,0,0.0,7,18.0,26.91,0.35
127,93,The Gu red shirt XML tag t-shirt (Black) M,Black,Each,Carton,M,7,12,0,0.0,7,18.0,26.91,0.35
128,92,The Gu red shirt XML tag t-shirt (Black) S,Black,Each,Carton,S,7,12,0,0.0,7,18.0,26.91,0.3
129,91,The Gu red shirt XML tag t-shirt (Black) XS,Black,Each,Carton,XS,7,12,0,0.0,7,18.0,26.91,0.25
130,90,The Gu red shirt XML tag t-shirt (Black) XXS,Black,Each,Carton,XXS,7,12,0,0.0,7,18.0,26.91,0.25
131,89,The Gu red shirt XML tag t-shirt (Black) 3XS,Black,Each,Carton,3XS,7,12,0,0.0,7,18.0,26.91,0.25
132,88,The Gu red shirt XML tag t-shirt (White) 7XL,White,Each,Carton,7XL,7,12,0,0.0,7,18.0,26.91,0.45
133,87,The Gu red shirt XML tag t-shirt (White) 6XL,White,Each,Carton,6XL,7,12,0,0.0,7,18.0,26.91,0.4
134,86,The Gu red shirt XML tag t-shirt (White) 5XL,White,Each,Carton,5XL,7,12,0,0.0,7,18.0,26.91,0.4
135,85,The Gu red shirt XML tag t-shirt (White) 4XL,White,Each,Carton,4XL,7,12,0,0.0,7,18.0,26.91,0.4
136,84,The Gu red shirt XML tag t-shirt (White) 3XL,White,Each,Carton,3XL,7,12,0,0.0,7,18.0,26.91,0.4
137,83,The Gu red shirt XML tag t-shirt (White) XXL,White,Each,Carton,XXL,7,12,0,0.0,7,18.0,26.91,0.4
138,82,The Gu red shirt XML tag t-shirt (White) XL,White,Each,Carton,XL,7,12,0,0.0,7,18.0,26.91,0.35
139,81,The Gu red shirt XML tag t-shirt (White) L,White,Each,Carton,L,7,12,0,0.0,7,18.0,26.91,0.35
140,80,The Gu red shirt XML tag t-shirt (White) M,White,Each,Carton,M,7,12,0,0.0,7,18.0,26.91,0.35
141,79,The Gu red shirt XML tag t-shirt (White) S,White,Each,Carton,S,7,12,0,0.0,7,18.0,26.91,0.3
142,78,The Gu red shirt XML tag t-shirt (White) XS,White,Each,Carton,XS,7,12,0,0.0,7,18.0,26.91,0.25
143,77,The Gu red shirt XML tag t-shirt (White) XXS,White,Each,Carton,XXS,7,12,0,0.0,7,18.0,26.91,0.25
144,76,The Gu red shirt XML tag t-shirt (White) 3XS,White,Each,Carton,3XS,7,12,0,0.0,7,18.0,26.91,0.25
145,75,Ride on big wheel monster truck (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,0,0.0,14,345.0,515.78,21.0
146,74,Ride on vintage American toy coupe (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,0,0.0,14,285.0,426.08,18.0
147,73,Ride on vintage American toy coupe (Red) 1/12 scale,Red,Each,Each,1/12 scale,14,1,0,0.0,14,285.0,426.08,18.0
148,72,Ride on toy sedan car (Pink) 1/12 scale,Unknown,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
149,71,Ride on toy sedan car (Yellow) 1/12 scale,Yellow,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
150,70,Ride on toy sedan car (Green) 1/12 scale,Unknown,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
151,69,Ride on toy sedan car (Blue) 1/12 scale,Blue,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
152,68,Ride on toy sedan car (Red) 1/12 scale,Red,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
153,67,Ride on toy sedan car (Black) 1/12 scale,Black,Each,Each,1/12 scale,14,1,0,0.0,14,230.0,343.85,15.0
154,66,RC big wheel monster truck with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,0,0.0,14,45.0,67.28,1.8
155,65,RC vintage American toy coupe with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,0,0.0,14,30.0,44.85,1.7
156,64,RC vintage American toy coupe with remote control (Red) 1/50 scale,Red,Each,Each,1/50 scale,14,1,0,0.0,14,30.0,44.85,1.7
157,63,RC toy sedan car with remote control (Pink) 1/50 scale,Unknown,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
158,62,RC toy sedan car with remote control (Yellow) 1/50 scale,Yellow,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
159,61,RC toy sedan car with remote control (Green) 1/50 scale,Unknown,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
160,60,RC toy sedan car with remote control (Blue) 1/50 scale,Blue,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
161,59,RC toy sedan car with remote control (Red) 1/50 scale,Red,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
162,58,RC toy sedan car with remote control (Black) 1/50 scale,Black,Each,Each,1/50 scale,14,1,0,0.0,14,25.0,37.38,1.5
163,57,IT joke mug - hardware: part of the computer that can be kicked (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
164,56,IT joke mug - hardware: part of the computer that can be kicked (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
165,55,IT joke mug - that behavior is by design (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
166,54,IT joke mug - that behavior is by design (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
167,53,IT joke mug - keyboard not found … press F1 to continue (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
168,52,IT joke mug - keyboard not found … press F1 to continue (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
169,51,Developer joke mug - old C developers never die (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
170,50,Developer joke mug - old C developers never die (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
171,49,Developer joke mug - this code was generated by a tool (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
172,48,Developer joke mug - this code was generated by a tool (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
173,47,Developer joke mug - a foo walks into a bar (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
174,46,Developer joke mug - a foo walks into a bar (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
175,45,Developer joke mug - there are 10 types of people in the world (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
176,44,Developer joke mug - there are 10 types of people in the world (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
177,43,Developer joke mug - understanding recursion requires understanding recursion (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
178,42,Developer joke mug - understanding recursion requires understanding recursion (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
179,41,"Developer joke mug - (hip, hip, array) (Black)",Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
180,40,"Developer joke mug - (hip, hip, array) (White)",White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
181,39,Developer joke mug - inheritance is the OO way to become wealthy (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
182,38,Developer joke mug - inheritance is the OO way to become wealthy (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
183,37,Developer joke mug - when your hammer is C++ (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
184,36,Developer joke mug - when your hammer is C++ (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
185,35,Developer joke mug - fun was unexpected at this time (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
186,34,Developer joke mug - fun was unexpected at this time (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
187,33,Developer joke mug - that's a hardware problem (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
188,32,Developer joke mug - that's a hardware problem (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
189,31,Developer joke mug - Oct 31 = Dec 25 (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
190,30,Developer joke mug - Oct 31 = Dec 25 (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
191,29,DBA joke mug - two types of DBAs (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
192,28,DBA joke mug - two types of DBAs (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
193,27,DBA joke mug - SELECT caffeine FROM mug (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
194,26,DBA joke mug - SELECT caffeine FROM mug (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
195,25,DBA joke mug - I will get you in order (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
196,24,DBA joke mug - I will get you in order (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
197,23,DBA joke mug - it depends (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
198,22,DBA joke mug - it depends (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
199,21,DBA joke mug - you might be a DBA if (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
200,20,DBA joke mug - you might be a DBA if (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
201,19,DBA joke mug - daaaaaa-ta (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
202,18,DBA joke mug - daaaaaa-ta (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
203,17,DBA joke mug - mind if I join you? (Black),Black,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
204,16,DBA joke mug - mind if I join you? (White),White,Each,Each,Unknown,12,1,0,0.0,12,13.0,19.44,0.15
205,15,USB food flash drive - dessert 10 drive variety pack,Unknown,Packet,Packet,Unknown,14,1,0,0.0,14,240.0,358.8,0.5
206,14,USB food flash drive - fortune cookie,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
207,13,USB food flash drive - shrimp cocktail,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
208,12,USB food flash drive - donut,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
209,11,USB food flash drive - cookie,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
210,10,USB food flash drive - chocolate bar,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
211,9,USB food flash drive - banana,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
212,8,USB food flash drive - dim sum 10 drive variety pack,Unknown,Packet,Packet,Unknown,14,1,0,0.0,14,240.0,358.8,0.5
213,7,USB food flash drive - pizza slice,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
214,6,USB food flash drive - hot dog,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
215,5,USB food flash drive - hamburger,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
216,4,USB food flash drive - sushi roll,Unknown,Each,Each,Unknown,14,1,0,0.0,14,32.0,47.84,0.05
217,3,Office cube periscope (Black),Black,Each,Carton,Unknown,14,10,0,0.0,14,18.5,27.66,0.25
218,2,USB rocket launcher (Gray),Gray,Each,Each,Unknown,14,1,0,0.0,14,25.0,37.38,0.3
219,1,USB missile launcher (Green),Unknown,Each,Each,Unknown,14,1,0,0.0,14,25.0,37.38,0.3
